14793,1.654398945996093939e-02,6.722641186481460585e-01,3.111918918918930022e-01
13914,6.899662648754577576e-01,3.177346644322032176e-02,2.782602686813219206e-01
12754,8.373132775880341994e-01,1.057500223766338482e-01,5.693670003533195245e-02
15562,1.266734678988329366e-01,9.058754863813212044e-02,7.827389834630349430e-01
0,6.351462657237465503e-01,9.632707639564408453e-02,2.685266578806094206e-01
10628,1.143300263435798603e-01,3.937381977229367780e-01,4.919317759334834173e-01
2877,1.118458359978529160e-01,6.393112235421219980e-01,2.488429404600251138e-01
10615,1.804429599058905986e-01,7.342792140071527918e-01,8.527782608695666511e-02
3804,1.070210917706790749e-01,7.987302780923352108e-01,9.424863013698570047e-02
13165,5.933023700433173175e-01,1.433747155766829096e-01,2.633229143799997174e-01
12242,1.461222939040837110e-01,5.049744177511508170e-01,3.489032883447654720e-01
15549,2.569782449163182658e-01,5.266749520630542580e-02,6.903542598773763084e-01
10643,2.895432331248467550e-01,3.561491694128721130e-01,3.543075974622811875e-01
8390,8.068828360241075970e-01,1.386187457148473912e-01,5.449841826104501186e-02
5413,1.615584860978961923e-01,7.922195292328464422e-01,4.622198466925730997e-02
4488,7.309039962529318979e-01,1.044184025662764359e-02,2.586541634904404585e-01
15557,5.999483732347672404e-01,2.653746606640756123e-01,1.346769661011571473e-01
3114,1.951467013124286165e-01,6.451149916321681221e-01,1.597383070554032614e-01
639,2.778953653692599057e-01,1.554784884987720495e-01,5.666261461319680448e-01
11176,3.343665669888031267e-01,5.569983044235380376e-01,1.086351285876587802e-01
3423,4.886075891818517092e-01,-2.490437450486765458e-02,5.362967853230159454e-01
10501,5.505832239321983845e-01,5.016818911607006104e-01,-5.226511509289899493e-02
3471,2.739363485630565975e-01,-7.175955312947881470e-01,1.443659182731731550e+00
7679,1.135498394933842220e-01,7.754843068480795631e-01,1.109658536585361732e-01
12809,1.312999999999991396e-01,2.404673646037774337e-01,6.282326353962234267e-01
12222,9.451611187775145473e-02,1.133983735359690298e-01,7.920855145862795155e-01
4884,3.375786589455261888e-01,5.258037609650515476e-01,1.366175800894222636e-01
4472,5.009196612991446973e-02,9.422338668489986524e-02,8.556846471851856650e-01
13478,4.533320326341415685e-01,3.816213842667020018e-01,1.650465830991564298e-01
5726,5.037400320984427582e-01,4.250404753400558455e-01,7.121949256150139629e-02
11091,7.173170930637791098e-01,1.459939335521897585e-01,1.366889733840311316e-01
15524,3.662733972705267682e-02,1.365732426094676821e-01,8.267994176634796410e-01
